monotonic_seconds	utc	http_code	time_seconds
1348494.51	2026-07-20T03:26:30.138Z	200	0.002357
1348494.62	2026-07-20T03:26:30.252Z	200	0.001949
1348494.73	2026-07-20T03:26:30.365Z	200	0.002524
1348494.85	2026-07-20T03:26:30.480Z	200	0.003097
1348494.96	2026-07-20T03:26:30.593Z	200	0.001504
1348495.08	2026-07-20T03:26:30.709Z	200	0.005101
1348495.20	2026-07-20T03:26:30.828Z	200	0.007552
1348495.32	2026-07-20T03:26:30.950Z	200	0.010329
1348495.44	2026-07-20T03:26:31.067Z	200	0.005697
1348495.55	2026-07-20T03:26:31.179Z	200	0.001452
1348495.66	2026-07-20T03:26:31.290Z	200	0.001303
1348495.77	2026-07-20T03:26:31.402Z	200	0.001556
1348495.89	2026-07-20T03:26:31.517Z	200	0.004393
1348496.00	2026-07-20T03:26:31.629Z	200	0.001719
1348496.11	2026-07-20T03:26:31.742Z	200	0.002922
1348496.22	2026-07-20T03:26:31.855Z	200	0.001859
1348496.34	2026-07-20T03:26:31.971Z	200	0.004731
1348496.45	2026-07-20T03:26:32.084Z	200	0.002197
1348496.57	2026-07-20T03:26:32.203Z	200	0.007541
1348496.68	2026-07-20T03:26:32.315Z	200	0.001605
1348496.80	2026-07-20T03:26:32.428Z	200	0.002024
1348496.91	2026-07-20T03:26:32.544Z	200	0.005567
1348497.03	2026-07-20T03:26:32.657Z	200	0.001899
1348497.14	2026-07-20T03:26:32.774Z	200	0.007102
1348497.26	2026-07-20T03:26:32.886Z	200	0.001378
1348497.37	2026-07-20T03:26:32.999Z	200	0.002491
1348497.49	2026-07-20T03:26:33.117Z	200	0.006843
1348497.60	2026-07-20T03:26:33.235Z	200	0.007292
1348497.72	2026-07-20T03:26:33.347Z	200	0.001767
1348497.83	2026-07-20T03:26:33.463Z	200	0.004795
1348497.94	2026-07-20T03:26:33.575Z	200	0.002003
1348498.06	2026-07-20T03:26:33.689Z	200	0.004694
1348498.17	2026-07-20T03:26:33.805Z	200	0.003770
1348498.29	2026-07-20T03:26:33.918Z	200	0.002169
1348498.41	2026-07-20T03:26:34.036Z	200	0.007295
1348498.52	2026-07-20T03:26:34.148Z	200	0.002282
1348498.63	2026-07-20T03:26:34.261Z	200	0.001567
